75558927	protein
75565792	protein
81999117	protein
81967022	protein
81921302	protein
81986189	protein
81998412	protein
123867710	protein
81992955	protein
81993842	protein
82001413	protein
123844548	protein
81928715	protein
82060923	protein
6093764	protein
82007415	protein
81943758	protein
123863393	protein
81924344	protein
82055606	protein
62287091	protein
123859532	protein
81936991	protein
81956029	protein
75545879	protein
123823622	protein
81922857	protein
75555028	protein
549317	protein
138362	protein
81963673	protein
549316	protein
73920451	protein
50400736	protein
50403733	protein
50400782	protein
50401020	protein
81920792	protein
130392	protein
50400776	protein
130391	protein
130395	protein
81985553	protein
81979373	protein
123873479	protein
81996566	protein
464431	protein
123878960	protein
81986016	protein
82002707	protein
81955173	protein
123859012	protein
81961262	protein
123838778	protein
81995954	protein
82005916	protein
81995603	protein
82008282	protein
81992914	protein
81995956	protein
81984703	protein
81992915	protein
82008280	protein
82011474	protein
82001011	protein
78099140	protein
81920773	protein
123816835	protein
81922315	protein
81946990	protein
123816616	protein
81920536	protein
81974191	protein
81923654	protein
82007165	protein
75562814	protein
81987845	protein
74826485	protein
74849359	protein
81993388	protein
81996837	protein
81999118	protein
81948783	protein
81981449	protein
118201949	protein
148828647	protein
148717938	protein
296005647	protein
190643464	protein
121762430	protein
188543137	protein
113478400	protein
148727238	protein
357542292	protein
357542286	protein
95102510	protein
182406753	protein
264670084	protein
157939786	protein
